"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time","resid_stage1"
"JPN",2012,127592657,50759471044.4103,52147816532.0722,397.824390822195,408.705467526021,0.0107475792289229,0.00926623025289697,0.000795119394267907,0.00265209109328168,0.00995245983465498,0.00661413915961528,-0.0118688199534989,0.474032921728151,0.616289455362953,0.843406680184176,-0.0544198597878476,0.746118479039635,6,-0.00288932452269915
"JPN",2013,127413888,51508549288.2285,53260499425.3921,404.26165543452,418.011727460919,0.016051651461007,0.0225147199301601,0.0078495719989311,0.0050414621375996,0.00820207946207585,0.0174732577925605,-0.0810552716403957,0.590154689467035,1.33830975650665,0.842758992388012,0.15144703149678,0.841597400575104,7,0.00998995804931498
"JPN",2014,127237150,51456389496.0406,53335368983.8037,404.413251130197,419.180789445564,0.000374923708458041,0.00279281699468115,0.0159654849278255,0.0183743549713968,-0.0155905612193674,-0.0155815379767157,-0.0725113024050053,0.606107774687807,1.30495220646551,0.825919196830293,0.242835454002418,0.834026657651713,8,-0.000861759619960862
"JPN",2015,127094745,53046263313.4845,55091872201.8368,417.375740542888,433.470889782554,0.0315496185551458,0.0335223371160156,0.0280472653851263,0.0245583807465763,0.00350235317001957,0.00896395636943925,-0.0663632508117054,0.705970529433798,1.42899561335399,0.901219280440504,0.367787072438849,0.918990377287638,9,0.00575767292994161
"JPN",2016,127041812,53801300739.0036,55634560882.3458,423.49286342833,437.923231780934,0.0145497899923317,0.0102189827398487,0.0168271894449461,0.0144851185438073,-0.0022773994526144,-0.00426613580395863,-0.0851161090526802,0.638208027437634,1.39530615748477,0.852725118779031,0.262427584787293,0.865892209148669,10,-0.00201527270595693
"JPN",2017,126918546,54423088211.0992,56393877379.537,428.803275221095,444.33125935383,0.0124615852950996,0.0145267387705816,0.0179280727866624,0.0191654966141703,-0.00546648749156287,-0.00463875784358869,-0.0702520659438998,0.653560962088463,1.39143797327218,0.838215660675866,0.347443954390152,0.860283462019659,11,0.000694982923876551
"JPN",2018,126748506,54274806711.8113,56305386250.8624,428.208650536767,444.229190763498,-0.00138766979052551,-0.000229739216432101,0.0159021573282834,0.016908827659889,-0.0172898271188089,-0.0171385668763211,-0.0812855691313008,0.676205564489533,1.43194834162909,0.865155838419147,0.372123279238032,0.888489207269551,12,-0.000534599327138618
"JPN",2019,126555078,54276367235.6365,56351090148.1692,428.875459550003,445.269293328311,0.00155599465658973,0.0023386280189488,0.0144967088861767,0.015257414255065,-0.012940714229587,-0.0129187862361162,-0.080260331415063,0.638722553927082,1.37947252982339,0.816248776291322,0.409054561099913,0.834974201484139,13,-0.000381568075527769
"KOR",1993,44194628,7692738099.85389,7682795230.69823,174.065004005779,173.840024871309,0.0712450353940879,0.0712379722819927,-0.00135462222161831,-0.00166973190616737,0.0725996576157062,0.0729077041881601,0.079682429167963,-1.00164785723368,-3.22205972688617,-0.930588176766461,-0.207159802118211,-1.03936826737951,-13,0.00570860091563282
"KOR",1994,44641540,8558466188.05835,8537598907.12463,191.715298980688,191.247858096397,0.0965826380678765,0.0954347941296882,0.0220913250613259,0.0224786054372377,0.0744913130065505,0.0729561886924506,0.0753279548372332,-0.896661106958082,-2.85315160950658,-0.81063065897022,-0.201068220299668,-0.918408903742606,-12,0.00381136423218259
"KOR",1995,45092991,9621017492.2098,9586889778.13413,213.359488444885,212.602658762071,0.106967028499437,0.105854698618046,0.0196658274612975,0.0181449363020514,0.0873012010381391,0.0877097623159946,0.0739002659585185,-0.782722483992301,-2.53458312854622,-0.683396100409607,-0.179911722070455,-0.795319972364217,-11,0.00634683881544418
"KOR",1996,45524681,10296541564.6908,10261630912.5947,226.174930576466,225.40807946781,0.0583302467096756,0.0584874742185875,0.0169687253259871,0.0199157558270775,0.0413615213836884,0.03857171839151,0.0693281533127647,-0.587375271473321,-1.92661269385185,-0.481701968525842,0.0144694966747836,-0.595226511271089,-10,-0.000345925407303255
"KOR",1997,45953580,10882795157.2883,10826272780.95,236.821487189645,235.591498659082,0.0459979097487171,0.0441869213518205,0.020118714724223,0.0234582751556349,0.0258791950244941,0.0207286461961855,0.0621717543217627,-0.461129822903054,-2.18756120323108,-0.330501514677756,0.0240562983356774,-0.459151454354752,-9,-0.00383066125611128
"KOR",1998,46286503,10055160168.9812,9929592318.56856,217.237413009603,214.524573579658,-0.0863158140627398,-0.0936750733871623,0.0166442682700927,0.0190432546603718,-0.102960082332832,-0.112718328047534,0.113339422708435,-0.354210190753351,-2.2264106307422,-0.221504138151324,0.199516467381569,-0.375030082185446,-8,-0.013396987990716
"KOR",1999,46616677,10982297207.2457,10865435844.1646,235.587302956959,233.08044552735,0.0810907333007087,0.0829593598020386,0.0228857791746693,0.0226003218471122,0.0582049541260394,0.0603590379549264,0.146097616626241,-0.845553333589693,-2.48227393006228,-0.709965879887912,-0.223979688102118,-0.900158681201082,-7,0.00184372975379184
"KOR",2000,47008111,11837397938.1054,11761016507.8034,251.816073573035,250.191217166828,0.0666173963029815,0.0708418404152926,0.0275917314821177,0.030749892461027,0.0390256648208638,0.0400919479542656,0.143140528384832,-1.03677558881223,-2.5448119181108,-0.921679153149702,-0.422642409378859,-1.1109770576987,-6,0.00055032820861148
"KOR",2001,47370164,12334171655.5288,12253625842.3088,260.378487512283,258.678138465149,0.0334373394263432,0.0333590861015018,0.00429049256645264,0.00495620591270285,0.0291468468598906,0.028402880188799,0.142346133934074,-1.13452908621616,-2.44410343477086,-1.05562806198652,-0.538587140753321,-1.21687513243688,-5,-0.00140448881104053
"KOR",2002,47644736,13321323561.2943,13273614334.7105,279.596964527083,278.595610955017,0.0712128601350877,0.0741767270232145,0.00834388227701144,0.00648753469019425,0.0628689778580762,0.0676891923330203,0.145293019615813,-1.26078858222024,-2.00425557617307,-1.19096671440317,-0.791463575891032,-1.31710995927713,-4,0.00348822951730633
"KOR",2003,47892330,13737534219.1571,13691297797.8053,286.842052143987,285.87662779834,0.025582569487975,0.0257990391266931,0.0122912048671653,0.0116199903834531,0.0132913646208097,0.0141790487432401,0.128152512080468,-1.21228750432402,-1.71564230488319,-1.11297426019849,-0.806338888250091,-1.24140726186579,-3,0.000291667122321939
"KOR",2004,48082519,14403629753.9457,14379575974.1163,299.560631462459,299.060371069917,0.0433851160407599,0.0450851165244517,0.0246676474896086,0.0264226761369253,0.0187174685511513,0.0186624403875264,0.104883620371848,-1.14484900704989,-1.05063604948281,-1.09294144266392,-0.74544125063774,-1.17387700382325,-2,-0.000510127685387414
"KOR",2005,48184561,14794997438.8295,14694464205.0626,307.048505408808,304.962085367191,0.0246888938356156,0.0195419956662946,0.018590244645126,0.0198301255349689,0.00609864919048952,-0.000288129868674325,0.096100361521297,-1.10059431918263,-1.07075505222026,-1.03902131703983,-0.689184099255601,-1.11501878511392,-1,-0.00686754505755251
"KOR",2006,48438292,15204643932.3314,15161940891.524,313.897193822016,313.015597071919,0.0220597909072362,0.02606556159059,0.0213658475515661,0.0248719015186785,0.000693943355670079,0.00119366007191157,0.0644514988882233,-1.03011660957746,-0.498332434336368,-1.00081042358567,-0.817485043825913,-0.975156581472283,0,1.73987434228535e-05
