iso,year,ehb_crude_dev_non_ppp,eq_ehb_crude_dev_non_ppp,debt_ehb_crude_dev_non_ppp,fdi_ehb_crude_dev_non_ppp,eq_debt_ehb_crude_dev_non_ppp
ISL,2001,-0.6500321326113756,0.2734405206908259,-2.4552770956262937,-0.7982591576003963,-0.49002705872525865
ISL,2002,-0.695217634982267,0.32223383141542006,-2.676436289159886,-0.6938251016401835,-0.6168770161902668
ISL,2003,-0.5504914027022212,0.4803014479977059,-2.447729870468554,-0.5978556140672435,-0.4344974094131131
IRL,1993,NA,2.072644919065013,NA,1.9143452279388242,NA
IRL,1994,NA,2.0013636157863095,NA,1.7888378008172499,NA
IRL,1995,1.7323529511566191,1.9878726697827602,Inf,1.7004276357173451,1.9048813807425498
IRL,1996,1.760788556257448,1.8911742777930622,Inf,1.6816222596849373,1.9175412054508532
IRL,1997,1.8099914630289455,1.8861388332546323,Inf,1.5975093057826386,2.0226412402932583
IRL,1998,1.8245663160057322,1.9232049278409633,Inf,1.0414617957328507,2.210142392813818
IRL,1999,1.8992379364279142,2.149644653499578,Inf,1.0042099984898538,2.277698443883474
IRL,2000,1.9412930521400256,2.113285447627651,Inf,1.1320023901956928,2.3279459026356557
IRL,2001,1.9797247070120283,2.031825952120398,2.818198324757858,1.1167956632585387,2.378305263325008
IRL,2002,2.0524412341611122,2.1238420569932166,2.801503755157099,1.2891224271228403,2.440387371333303
IRL,2003,2.031747975720751,2.0716823953573984,2.7949210032355345,1.290490776728395,2.4098324460254386
ITA,1993,0.11393791595070812,-0.13622102301259575,Inf,-0.05810516436703672,0.4666474184142344
ITA,1994,0.07183474413438917,-0.14562255120510503,Inf,-0.10847477658335203,0.42973395684083004
ITA,1995,0.12210056786903767,-0.16230308082794576,Inf,-0.12667278889521505,0.43666054693644973
ITA,1996,-0.04089537697887913,-0.32646894621477296,Inf,-0.29587326696496286,0.21707264409905025
ITA,1997,0.11225203907483794,-0.18686258079726903,Inf,-0.21226264326339472,0.3779353312336562
ITA,1998,0.21545087831069554,-0.18997717104918133,Inf,-0.17070684796999025,0.48746966164376393
ITA,1999,0.1541586128981951,0.19145070015957044,Inf,-0.1817435897791393,0.38987177421329755
ITA,2000,0.15701963971381772,0.47042993415349565,Inf,-0.29506120598250996,0.44780126318625124
ITA,2001,-0.013050020974549048,0.25897433741223086,0.5010149799695667,-0.426511191242408,0.2628905029766362
ITA,2002,-0.09985751223715095,0.32599175626312227,0.32619915060269844,-0.5375890847157665,0.19462331233194807
ITA,2003,-0.19778288761204693,0.225238108286812,0.2621873180496934,-0.6824093120368266,0.11057253032587144
JPN,1993,0.14690395755489294,-0.3099972593515865,Inf,-0.3675655903083581,0.6476305875146642
JPN,1994,0.009756417265066153,-0.4176514785894776,Inf,-0.5315214117585416,0.5179080272897272
JPN,1995,-0.15841090008103342,-0.4604370108156961,Inf,-0.8747819144994864,0.34198109458636106
