"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev_non_ppp","eq_ehb_crude_dev_non_ppp","debt_ehb_crude_dev_non_ppp","fdi_ehb_crude_dev_non_ppp","eq_debt_ehb_crude_dev_non_ppp","time"
"DEU",2000,82211501,34235703649.7074,34032024956.7509,416.434479765883,413.956983424386,0.0092679901851449,0.0105952722529681,0.0261166437776845,0.0293960548351491,-0.0168486535925396,-0.018800782582181,-0.0812008261062904,0.296472192301625,0.612861101710333,0.43403413365247,0.17816172542597,0.382603152225513,2
"DEU",2001,82349926,34608036147.3873,34356632810.3732,420.25582569907,417.202959118302,0.00913449690757684,0.00781075225177297,0.00303976255030847,0.0038019078815763,0.00609473435726837,0.00400884437019666,-0.0796365380916704,0.273059664569512,0.442266074272457,0.418363239860181,0.18953964707244,0.344935481707267,3
"DEU",2002,82488493,34555747254.5479,34192030358.8356,418.915972371418,414.506667721952,-0.0031932781089079,-0.00648375527980427,0.00568943842718639,0.00382292913555471,-0.00888271653609429,-0.010306684415359,-0.164370017377734,0.299467868926152,0.382035073817742,0.460004781828157,0.190373723242844,0.377704200517499,4
"DEU",2003,82534175,34470454765.6452,34115998913.2034,417.650685496586,413.356029950059,-0.00302495402547898,-0.00277978103388588,0.0110416401145388,0.0103800031386667,-0.0140665941400178,-0.0131597841725526,-0.120718783109212,0.239129033011494,0.289374917561076,0.442801711496859,0.0782615787208663,0.346193585551929,5
"DNK",1993,5189377,1940750392.8524,1895771281.71592,373.985238083954,365.317702243626,-0.0102413798136496,-0.00341414244454885,-0.00340563508537883,-0.00388240817350027,-0.00683574472827075,0.000468265728951422,-0.00773692429436956,0.48630146151687,0.534651997638298,0.665836796052337,0.506395848768618,0.598528475504094,-5
"DNK",1994,5204994,2038777252.68572,1993785453.30494,391.696369426308,383.052401848098,0.046270645596012,0.0474044071734303,0.0187885389977023,0.0188164926266712,0.0274821065983097,0.0285879145467591,-0.00987395869256225,0.326656479845771,0.453267964488359,0.420821672301817,0.554539427148606,0.372421659325929,-4
"DNK",1995,5227861,2084251180.51505,2046613318.87337,398.681445530982,391.481969178861,0.0176757440174438,0.0217676593645448,0.0158487713628999,0.0144459526849436,0.0018269726545439,0.00732170667960119,-0.00891842120280628,0.201079168713632,0.33664842908321,0.275899087937269,0.466795056611606,0.229184379353901,-3
"DNK",1996,5261503,2142450199.87908,2100450453.14766,407.193571851823,399.211110047388,0.0211259630079468,0.0195509161970744,0.0148317097559252,0.0178701593677086,0.0062942532520216,0.00168075682936575,-0.0315538224311377,0.220317261177131,0.477484231391978,0.304111473373785,0.387093607482087,0.265694522346768,-2
"DNK",1997,5284220,2206678675.34745,2166694457.66594,417.597805418292,410.031084562328,0.0252301024370247,0.0267425980000722,0.0186296603121461,0.022191209762874,0.00660044212487865,0.00455138823719814,-0.0361585948512577,0.204073399113277,0.575517054794265,0.272848526667695,0.286375996195053,0.264183408004956,-1
"DNK",1998,5301304,2244414893.02621,2212468635.67495,423.370343037527,417.34422996209,0.0137285301310994,0.0176783999537324,0.018980453161662,0.0217722047165152,-0.00525192303056254,-0.00409380476278276,-0.0725658256975653,0.229026954447466,0.628613941189824,0.2942380759839,0.298646479196228,0.288341286351612,0
